DBN,School Name,year_start,scenario,model,forecast,actual,error,abs_error,pct_error
02M002,P.S. 002 Meyer London,2023,optimistic,Piecewise Linear,509.19047619047626,255.0,254.19047619047626,254.19047619047626,0.9968253968253971
02M002,P.S. 002 Meyer London,2024,optimistic,Piecewise Linear,592.2857142857143,317.0,275.28571428571433,275.28571428571433,0.8684091933303292
02M002,P.S. 002 Meyer London,2022,base,Prophet,304.4885869929603,319.0,-14.511413007039721,14.511413007039721,-0.04549032290608063
02M002,P.S. 002 Meyer London,2023,base,Prophet,272.4655018329329,255.0,17.465501832932887,17.465501832932887,0.0684921640507172
02M002,P.S. 002 Meyer London,2024,base,Prophet,240.35468219301504,317.0,-76.64531780698496,76.64531780698496,-0.24178333693055193
02M003,P.S. 003 Charrette School,2022,pessimistic,Piecewise Linear,479.99999999999994,480.0,-5.684341886080802e-14,5.684341886080802e-14,-1.1842378929335003e-16
02M003,P.S. 003 Charrette School,2023,pessimistic,Piecewise Linear,443.9999999999999,482.0,-38.000000000000114,38.000000000000114,-0.07883817427385915
02M003,P.S. 003 Charrette School,2024,pessimistic,Piecewise Linear,407.9999999999999,483.0,-75.00000000000011,75.00000000000011,-0.1552795031055903
02M003,P.S. 003 Charrette School,2022,base,Piecewise Linear,516.0,480.0,36.0,36.0,0.075
02M003,P.S. 003 Charrette School,2023,base,Piecewise Linear,516.0,482.0,34.0,34.0,0.07053941908713693
02M003,P.S. 003 Charrette School,2024,base,Piecewise Linear,516.0,483.0,33.0,33.0,0.06832298136645963
02M003,P.S. 003 Charrette School,2022,optimistic,Piecewise Linear,582.3333333333334,480.0,102.33333333333337,102.33333333333337,0.21319444444444452
02M003,P.S. 003 Charrette School,2023,optimistic,Piecewise Linear,648.6666666666666,482.0,166.66666666666663,166.66666666666663,0.34578146611341626
02M003,P.S. 003 Charrette School,2024,optimistic,Piecewise Linear,715.0,483.0,232.0,232.0,0.4803312629399586
02M003,P.S. 003 Charrette School,2022,base,Prophet,459.1052133163586,480.0,-20.894786683641428,20.894786683641428,-0.04353080559091964
02M003,P.S. 003 Charrette School,2023,base,Prophet,390.4760973101983,482.0,-91.52390268980167,91.52390268980167,-0.18988361553900762
02M003,P.S. 003 Charrette School,2024,base,Prophet,321.65895632867887,483.0,-161.34104367132113,161.34104367132113,-0.334039427890934
02M006,P.S. 006 Lillie D. Blake,2022,pessimistic,Piecewise Linear,455.99999999999994,487.0,-31.000000000000057,31.000000000000057,-0.06365503080082147
02M006,P.S. 006 Lillie D. Blake,2023,pessimistic,Piecewise Linear,420.9999999999999,500.0,-79.00000000000011,79.00000000000011,-0.15800000000000022
02M006,P.S. 006 Lillie D. Blake,2024,pessimistic,Piecewise Linear,385.99999999999983,539.0,-153.00000000000017,153.00000000000017,-0.28385899814471277
02M006,P.S. 006 Lillie D. Blake,2022,base,Piecewise Linear,491.0,487.0,4.0,4.0,0.008213552361396304
02M006,P.S. 006 Lillie D. Blake,2023,base,Piecewise Linear,491.0,500.0,-9.0,9.0,-0.018
02M006,P.S. 006 Lillie D. Blake,2024,base,Piecewise Linear,491.0,539.0,-48.0,48.0,-0.08905380333951762
02M006,P.S. 006 Lillie D. Blake,2022,optimistic,Piecewise Linear,546.4761904761905,487.0,59.47619047619048,59.47619047619048,0.12212770118314267
02M006,P.S. 006 Lillie D. Blake,2023,optimistic,Piecewise Linear,601.952380952381,500.0,101.95238095238096,101.95238095238096,0.20390476190476192
02M006,P.S. 006 Lillie D. Blake,2024,optimistic,Piecewise Linear,657.4285714285714,539.0,118.42857142857144,118.42857142857144,0.21971905645375037
02M006,P.S. 006 Lillie D. Blake,2022,base,Prophet,457.06257434237517,487.0,-29.93742565762483,29.93742565762483,-0.06147315330107768
02M006,P.S. 006 Lillie D. Blake,2023,base,Prophet,421.34565467011123,500.0,-78.65434532988877,78.65434532988877,-0.15730869065977754
02M006,P.S. 006 Lillie D. Blake,2024,base,Prophet,385.5308804234028,539.0,-153.46911957659722,153.46911957659722,-0.28472934986381676
02M011,P.S. 011 William T. Harris,2022,pessimistic,Piecewise Linear,638.0,668.0,-30.0,30.0,-0.04491017964071856
02M011,P.S. 011 William T. Harris,2023,pessimistic,Piecewise Linear,563.0,719.0,-156.0,156.0,-0.21696801112656466
02M011,P.S. 011 William T. Harris,2024,pessimistic,Piecewise Linear,487.9999999999999,643.0,-155.0000000000001,155.0000000000001,-0.2410575427682739
02M011,P.S. 011 William T. Harris,2022,base,Piecewise Linear,713.0,668.0,45.0,45.0,0.06736526946107785
02M011,P.S. 011 William T. Harris,2023,base,Piecewise Linear,713.0,719.0,-6.0,6.0,-0.008344923504867872
02M011,P.S. 011 William T. Harris,2024,base,Piecewise Linear,713.0,643.0,70.0,70.0,0.1088646967340591
